Chap Num,Scene Num,Speaker,Text,Background Img,Char 1,Char 2,Sounds,Is Special,Time
,30,,(Emily stops typing and gives you a weird side-eye. She stays there for a few seconds before turning back to laptop with a huff.),Classroom,Emily,,,,
,31,Emily,"""You interrupted me for a question like that? I've lost my train of thought now.""",Classroom,Emily,,,,
,32,Emily,"""Where would Kit be 'finally back' from? As far as I know, he never left.""",Classroom,Emily,,,,
,33,You,"""Right, right, sorry for the bother. If you want I can let you copy off my answers. Mr. Harrison doesn't actually read your response anyways.""",Classroom,Emily,,,,
,34,Emily,"""Nah, I'm okay. I just have a few sentences left.""",Classroom,Emily,,,,
,35,,(You let Emily get back to her writing and open your own laptop.),Classroom,Emily,,,,
,36,You,Am I hallucinating? I swear Kit's been gone for a loooong time now.,Classroom,,,,,
,37,You,And that one time I heard his friends saying they went to go visit him and he wasn't there.,Classroom,,,,,
,38,,(You hastily open up a previous group project document on your laptop and check the document history.),Classroom,,,Keyboard Clicks,,
,39,You,There!,Classroom,,,,,
,40,You,Six weeks ago Emily deleted Kit's name off of our document and we reorganized the work to be split between three people instead of four.,Classroom,,,,,
,41,You,...,Classroom,,,,,
,42,You,... But why is everyone pretending that he didn't go missing?,Classroom,,,,,
,43,,(The door to the classroom opens again and Mr. Harrison walks in. The class quiets down as Mr. Harrison grumpily starts class.),Classroom,Mr. Harrison,,Door,,
,44,,(You put away your laptop before he can yell at you for having electronics out.),Classroom,Mr. Harrison,,,,
,45,,"(Mr. Harrison begins class and you try your best to pay attention, but for some reason all you want to do is get to the bottom of Kit's disappearance.)",Classroom,Mr. Harrison,,,,
,46,,"Fade to black, fade back",Classroom,,,,t,1.5
,47,,"(Throughout the day, you try to ask other people questions about Kit's whereabouts for the past month, but all answers lead you to the same conclusion.)",Classroom,,,,,
,48,,Nobody remembers Kit's disappearance.,,,,,,
,49,,At Home :P,,,,,,
,50,You,"""Hmmmm...""",Player Home,,,,,
,51,You,"I tried to catch Kit after school to ask the guy himself about his... disappearance, but his friends told me he left before last period.",Player Home,,,,,
,52,You,"I still want to get to the bottom of this, but I need to find a way to talk to Kit.",Player Home,,,,,
,53,,"fade to black, scratching sounds, fade back",,,,,t,2
,54,You,"""Hehe, done!""",Player Home,,,,,
,55,You,I'll just leave this on Kit's desk tomorrow morning. Hopefully he doesn't flake on me.,Player Home,,,,,
,56,You,Alright... Time for some homework!,Player Home,,,,,
,57,,fade to black,,,,,t,1
,58,,Day of two :P,Black,,,,,
,59,,"(Once again, you arrive at school for first period early and head straight to Mr. Harrison's classroom.)",Classroom,,,,,
,60,,(You place an origami flower envelope on Kit's desk and patiently wait for the bell to ring.),Classroom,,,,,
,61,You,"""...""",Classroom,,,,,
,62,You,"""...""",Classroom,,,,,
,63,,*Ding Dong*,Classroom,,,,,
,64,You,"""...""",Classroom,,,,,
,65,,(Mr. Harrison bursts through the door only a few seconds after the bell rings.),Classroom,Mr. Harrison,,Door,,
,66,Mr. Harrison,"""Alright, settle down. Get your books out, we're gonna be doing a passage analysis today. Read and analyze the letter on page 238",Classroom,Mr. Harrison,,,,
,67,,(A chorus of groans emerge from your classmates.),Classroom,Mr. Harrison,,,,
,68,Mr. Harrison,"""I don't want to hear it. I'll be nice and let you partner work this time, so stop complaining.""",Classroom,Mr. Harrison,,,,
,69,Emily,"""So... you wanna work together?""",Classroom,Emily,,,,
,70,,"(As you work with Emily, you keep an eye on the door for Kit.)",Classroom,Emily,,,,
,71,,"(Halfway into the class period, you realize that you missed Kit's entrance. Kit sits at his desk with the origami envelope nowhere to be found.)",Classroom,Emily,Kit Normal,,,
,72,,fade to black,Classroom,,,,t,
,73,NARR,After School :0,,,,,,
,74,,(You make your way to the location you specified in the envelope you left on Kit’s desk.),Outside Classroom,,,,,
,75,,"(Surprisingly, Kit is already there.)",Outside Classroom,,,,,
,76,You,He looks angry... I don't think he's going to tell me anything.,Outside Classroom,Kit Crossed Arms,,,,
,77,,"(As you get closer to Kit, he holds a piece of crumpled paper out towards you. It is the same color as the origami you left on his desk.)",Outside Classroom,Kit Crossed Arms,,,,
,78,,(...On closer inspection... That *is* the origami you gave him this morning.),Outside Classroom,Kit Crossed Arms,,,,
,79,You,"""Hey Kit!""",Outside Classroom,Kit Crossed Arms,,,,
,80,Kit,"""…""",Outside Classroom,Kit Annoyed,,,,
,81,Kit,"""You need to stop.""",Outside Classroom,Kit Annoyed,,,,
,82,You,"""Weird start but okay? Do you want to elaborate on that statement?""",Outside Classroom,Kit Annoyed,,,,
,83,,(Kit sighs and motions for you to take the paper he's holding out and doesn't continue talking until you've taken it.),Outside Classroom,Kit Normal,,,,
,84,Kit,"""My friends tell me you've been acting really weird about me recently. They didn't really get into the specifics of it, but either way I'd like you to stop.""",Outside Classroom,Kit Normal,,,,
,85,You,"""Sorry, I'll stop, but before that, I want to ask you a few ques-""",Outside Classroom,Kit Normal,,,,
,86,Kit,"""No.""",Outside Classroom,Kit Annoyed,,,,
,87,You,"""…Hm?""",Outside Classroom,Kit Annoyed,,,,
,88,Kit,"""I want you to forget about the whole situation.""",Outside Classroom,Kit Annoyed,,,,
,89,You,"""Wait whats wrong with asking a few questions??""",Outside Classroom,Kit Annoyed,,,,
,90,Kit,"""Don't get involved in things that don't concern you. You might get hurt if you keep nosing around like that.",Outside Classroom,Kit Annoyed,,,,
,91,You,"""…Are you threatening me? Wait no- you know what I want to ask you.""",Outside Classroom,Kit Annoyed,,,,
,92,You,"""You're getting a little aggressive, Kit. Is there some shady business you want to keep hidden?""",Outside Classroom,Kit Annoyed,,,,
,93,You,"""Kit are you in the mafia??? Am I talking to a mafia boss??? Oh this is so cool. Did you just forget to pay me off to act like you weren't missing?""",Outside Classroom,Kit Annoyed,,,,
,94,,(Kit stares at you after your outburst with disbelief written all over his face.),Outside Classroom,Kit Normal,,,,
,95,Kit,"""…..what the actual shit is going on in your brain. No, I'm not a mafia boss.""",Outside Classroom,Kit Normal,,,,
,96,You,Hm. That's awkward. He sounded like a movie villain for a second and I got a little carried away with my imagination.,Outside Classroom,Kit Normal,,,,
,97,You,"""Um.""",Outside Classroom,Kit Normal,,,,
,98,Kit,"""Forget it. Just stay out of my business. Nothing good will come out of it.""",Outside Classroom,Kit Annoyed,,,,
,99,Kit,"""I'm not a mafia boss, but I need you to promise me that you won't ask any more questions.""",Outside Classroom,Kit Annoyed,,,,
,100,You,"""Are you kidding me? You went missing for a month and a half, come back with no explanation, and for some reason everyone I talk to doesn't remember anything.""",Outside Classroom,Kit Normal,,,,
,101,,"""It's like all of their memories are being blocked. I show them evidence, they remember for like, two seconds, and then immediately forget.""",Outside Classroom,Kit Normal,,,,
,102,,"""You want me to just act like that isn't a thing?""",Outside Classroom,Kit Normal,,,,
,103,Kit,"""….......yyyyes.""",Outside Classroom,Kit Normal,,,,
,104,You,"""…""",Outside Classroom,Kit Normal,,,,
,105,You,"""Fuck off.""",Outside Classroom,Kit Normal,,,,
,106,You,"""...""",Outside Classroom,Kit Normal,,,,
,107,Kit,"""Okay let's say I do answer all of your questions and you have all the information you want. What would you do with that?""",Outside Classroom,Kit Normal,,,,
,108,You,"""I mean, I guess it would depend on what the information is.""",Outside Classroom,Kit Normal,,,,
,109,Kit,"""If you don't know what you'll do with it, why are you trying to get it?""",Outside Classroom,Kit Annoyed,,,,
,110,You,"""...""",Outside Classroom,Kit Annoyed,,,,
,111,You,I feel like curiosity would not be the right answer to give here. Kit looks genuinely upset.,Outside Classroom,Kit Annoyed,,,,
,112,Kit,"""Either way, you're not going to be able to change the past, or do anything for my future.""",Outside Classroom,Kit Annoyed,,,,
,113,Kit,"""So why would I want to tell you anything?""",Outside Classroom,Kit Annoyed,,,,
,114,Kit,"""Just give up.""",Outside Classroom,Kit Annoyed,,,,
,115,You,"""...""",Outside Classroom,Kit Annoyed,,,,
,116,You,"... He's... not wrong. Given his extreme reaction, I probably wouldn't be able to do anything with the answers.",Outside Classroom,Kit Annoyed,,,,
,117,You,"Ugh, not knowing will bother me for the rest of my life, but I think I should back off for now.",Outside Classroom,Kit Annoyed,,,,
,118,You,"""Okay, you win. I'll stop being nosy. I'm not happy about it, though.""",Outside Classroom,Kit Normal,,,,
,119,Kit,"""Thanks.""",Outside Classroom,Kit Normal,,,,
,120,,(There is an awkward silence for a few seconds.),Outside Classroom,Kit Normal,,,,
,121,You,"""I'll be going then... Uh. See you tomorrow.""",Outside Classroom,Kit Normal,,,,
,122,Kit,"""Yeah. I'll-""",Outside Classroom,Kit Normal,,,,
,123,,(Kit suddenly stops and lunges forward.),Outside Classroom,Kit Normal,,,,
,124,Kit,"""WATCH OUT!""",Outside Classroom,Kit Yell,,,,
,125,You,"""!!!!""",Outside Classroom,,,,t,
,126,,fade to black,,,,,t,
